userName,score,at,content,Label,text_clean,text_StopWord,text_tokens,text_steamindo
Muslinar Muslinar,5,2023-08-26 12:48:55,Aplikasi ini sangat membantu untuk pesan gojek atau gocar bahkan bisa untuk pesan makanan dengan layanan gofood.,Positif,aplikasi ini sangat membantu untuk pesan gojek atau gocar bahkan bisa untuk pesan makanan dengan layanan gofood,aplikasi membantu pesan gojek gocar pesan makanan layanan gofood,"['aplikasi', 'membantu', 'pesan', 'gojek', 'gocar', 'pesan', 'makanan', 'layanan', 'gofood']",aplikasi bantu pesan gojek gocar pesan makan layan gofood
Carl Hopkins,2,2023-08-26 11:54:10,"Saya suka menggunakan gopay karena simple dan cukup nyaman, entah kenapa belakangan ini ada masalah pada jaringan gopay yang selalu tidak tersambung dengan jaringan padahal dalam kondisi jaringan yang normal, walaupun telah berulang kali update tetapi masalah bug jaringan ini tidak menghilang, tolong untuk segera di perbaiki, Terima kasih.",Negatif,saya suka menggunakan gopay karena simple dan cukup nyaman entah kenapa belakangan ini ada masalah pada jaringan gopay yang selalu tidak tersambung dengan jaringan padahal dalam kondisi jaringan yang normal walaupun telah berulang kali update tetapi masalah bug jaringan ini tidak menghilang tolong untuk segera di perbaiki terima kasih,suka gopay simple nyaman jaringan gopay tersambung jaringan kondisi jaringan normal berulang kali update bug jaringan menghilang tolong perbaiki terima kasih,"['suka', 'gopay', 'simple', 'nyaman', 'jaringan', 'gopay', 'tersambung', 'jaringan', 'kondisi', 'jaringan', 'normal', 'berulang', 'kali', 'update', 'bug', 'jaringan', 'menghilang', 'tolong', 'perbaiki', 'terima', 'kasih']",suka gopay simple nyaman jaring gopay sambung jaring kondisi jaring normal ulang kali update bug jaring hilang tolong baik terima kasih
Mulya Aja,1,2023-08-26 08:51:28,Menggunakan aplikasi gojek sangat susah sekali karena tampilan baru semua dan susah di mengerti Bikin orderan. Susah sekali dapat driver nya padahal rame driver sekitar kami yang nyender seharian kasihan driver sampe. Hnya berharap orderan manual. Karena tanpa sebab akun mereka gagu aja. Sesekali dapat pas hujan dan cuaca extreem saja,Negatif,menggunakan aplikasi gojek sangat susah sekali karena tampilan baru semua dan susah di mengerti bikin orderan susah sekali dapat driver nya padahal rame driver sekitar kami yang nyender seharian kasihan driver sampe hnya berharap orderan manual karena tanpa sebab akun mereka gagu aja sesekali dapat pas hujan dan cuaca extreem saja,aplikasi gojek susah tampilan susah mengerti bikin orderan susah driver nya rame driver nyender seharian kasihan driver sampe hnya berharap orderan manual akun gagu aja pas hujan cuaca extreem,"['aplikasi', 'gojek', 'susah', 'tampilan', 'susah', 'mengerti', 'bikin', 'orderan', 'susah', 'driver', 'nya', 'rame', 'driver', 'nyender', 'seharian', 'kasihan', 'driver', 'sampe', 'hnya', 'berharap', 'orderan', 'manual', 'akun', 'gagu', 'aja', 'pas', 'hujan', 'cuaca', 'extreem']",aplikasi gojek susah tampil susah erti bikin order susah driver nya rame driver nyender hari kasihan driver sampe hnya harap order manual akun gagu aja pas hujan cuaca extreem
Reza.,5,2023-08-26 08:38:20,"Menurut saya, aplikasi ini sangat membantu! Selama pemakaian aplikasi, tidak pernah ada masalah apapun itu.",Positif,menurut saya aplikasi ini sangat membantu selama pemakaian aplikasi tidak pernah ada masalah apapun itu,aplikasi membantu pemakaian aplikasi apapun,"['aplikasi', 'membantu', 'pemakaian', 'aplikasi', 'apapun']",aplikasi bantu pakai aplikasi apa
rangga pratama,1,2023-08-26 08:27:11,"Padahal sudah bayar gopay latter sebelum jatuh tempo dan gak pernah telat sama sekali, tapi pas di bayar bulan ini Agustus malah gak bisa dipakai gopay latter nya. Uninstall aja jadi gak gunaaa",Negatif,padahal sudah bayar gopay latter sebelum jatuh tempo dan gak pernah telat sama sekali tapi pas di bayar bulan ini agustus malah gak bisa dipakai gopay latter nya uninstall aja jadi gak gunaaa,bayar gopay latter jatuh tempo gak telat pas bayar agustus gak dipakai gopay latter nya uninstall aja gak gunaaa,"['bayar', 'gopay', 'latter', 'jatuh', 'tempo', 'gak', 'telat', 'pas', 'bayar', 'agustus', 'gak', 'dipakai', 'gopay', 'latter', 'nya', 'uninstall', 'aja', 'gak', 'gunaaa']",bayar gopay latter jatuh tempo gak telat pas bayar agustus gak pakai gopay latter nya uninstall aja gak gunaaa
Meiratul Lutvia,5,2023-08-26 07:30:58,Pesan goride/gobcar cukup 5/10menit sudah sampai datang kendaraannya . Pertahankan terus 👍🏻,Positif,pesan goridegobcar cukup menit sudah sampai datang kendaraannya  pertahankan terus ,pesan goridegobcar menit kendaraannya pertahankan,"['pesan', 'goridegobcar', 'menit', 'kendaraannya', 'pertahankan']",pesan goridegobcar menit kendara tahan
Riza Escona,5,2023-08-26 07:09:37,"sangat jelek, tidak bisa diharapkan, order gonsend lebih sering dicancel, buang waktu",Positif,sangat jelek tidak bisa diharapkan order gonsend lebih sering dicancel buang waktu,jelek diharapkan order gonsend dicancel buang,"['jelek', 'diharapkan', 'order', 'gonsend', 'dicancel', 'buang']",jelek harap order gonsend dicancel buang
Endah Endah,1,2023-08-26 05:17:27,Mau daftar baru kok ga bisa.padahal no aktif bisa nerima sms.. kode otp ga bisa masuk.. padahal pake wifi.. uninstal aja.. busuk,Negatif,mau daftar baru kok ga bisapadahal no aktif bisa nerima sms kode otp ga bisa masuk padahal pake wifi uninstal aja busuk,daftar ga bisapadahal no aktif nerima sms kode otp ga masuk pake wifi uninstal aja busuk,"['daftar', 'ga', 'bisapadahal', 'no', 'aktif', 'nerima', 'sms', 'kode', 'otp', 'ga', 'masuk', 'pake', 'wifi', 'uninstal', 'aja', 'busuk']",daftar ga bisapadahal no aktif nerima sms kode otp ga masuk pake wifi uninstal aja busuk
Sandy Agre Nicola,4,2023-08-26 04:58:14,Ui nya tolong diperbaiki. User kebanyakan pasti butuh alat makan. Tapi hrus centang bru dpt alat makan. Sangat merepotkan soalnya ga bs diubah.,Positif,ui nya tolong diperbaiki user kebanyakan pasti butuh alat makan tapi hrus centang bru dpt alat makan sangat merepotkan soalnya ga bs diubah,ui nya tolong diperbaiki user kebanyakan butuh alat makan hrus centang bru dpt alat makan merepotkan ga bs diubah,"['ui', 'nya', 'tolong', 'diperbaiki', 'user', 'kebanyakan', 'butuh', 'alat', 'makan', 'hrus', 'centang', 'bru', 'dpt', 'alat', 'makan', 'merepotkan', 'ga', 'bs', 'diubah']",ui nya tolong baik user banyak butuh alat makan hrus centang bru dpt alat makan repot ga bs ubah
Ignatius Winarto,5,2023-08-26 04:53:24,"Waktu, tarif, jenis dan kualitas kendaraan bagus",Positif,waktu tarif jenis dan kualitas kendaraan bagus,tarif jenis kualitas kendaraan bagus,"['tarif', 'jenis', 'kualitas', 'kendaraan', 'bagus']",tarif jenis kualitas kendara bagus
